item_id;item_name;Categoria (preencha: Arma/Armadura/etc);LEATHER;CLOTH;METALBAR;PLANKS;Livro;Porcentagem Diario
T4_BAG;Adept's Bag;etc;8;8;;;Tinker's;0,1
T4_BAG@1;Adept's Bag .1;etc;8;8;;;Tinker's;0,2
T4_BAG@2;Adept's Bag .2;etc;8;8;;;Tinker's;0,4
T4_BAG@3;Adept's Bag .3;etc;8;8;;;Tinker's;0,8
T4_BAG@4;Adept's Bag .4;etc;8;8;;;Tinker's;1,6
T5_BAG;Expert's Bag;etc;8;8;;;Tinker's;0,2
T5_BAG@1;Expert's Bag .1;etc;8;8;;;Tinker's;0,4
T5_BAG@2;Expert's Bag .2;etc;8;8;;;Tinker's;0,8
T5_BAG@3;Expert's Bag .3;etc;8;8;;;Tinker's;1,6
T5_BAG@4;Expert's Bag .4;etc;8;8;;;Tinker's;3,2
T6_BAG;Master's Bag;etc;8;8;;;Tinker's;0,3
T6_BAG@1;Master's Bag .1;etc;8;8;;;Tinker's;0,6
T6_BAG@2;Master's Bag .2;etc;8;8;;;Tinker's;1,2
T6_BAG@3;Master's Bag .3;etc;8;8;;;Tinker's;2,4
T6_BAG@4;Master's Bag .4;etc;8;8;;;Tinker's;4,8
T7_BAG;Grandmaster's Bag;etc;8;8;;;Tinker's;0,36
T7_BAG@1;Grandmaster's Bag .1;etc;8;8;;;Tinker's;0,72
T7_BAG@2;Grandmaster's Bag .2;etc;8;8;;;Tinker's;1,45
T7_BAG@3;Grandmaster's Bag .3;etc;8;8;;;Tinker's;2,9
T7_BAG@4;Grandmaster's Bag .4;etc;8;8;;;Tinker's;5,82
T8_BAG;Elder's Bag;etc;8;8;;;Tinker's;0,38
T8_BAG@1;Elder's Bag .1;etc;8;8;;;Tinker's;0,76
T8_BAG@2;Elder's Bag .2;etc;8;8;;;Tinker's;1,52
T8_BAG@3;Elder's Bag .3;etc;8;8;;;Tinker's;3,04
T8_BAG@4;Elder's Bag .4;etc;8;8;;;Tinker's;6,08
T4_BAG_INSIGHT;Adept's Satchel of Insight;etc;8;8;;;Tinker's;0,1
T4_BAG_INSIGHT@1;Adept's Satchel of Insight .1;etc;8;8;;;Tinker's;0,2
T4_BAG_INSIGHT@2;Adept's Satchel of Insight .2;etc;8;8;;;Tinker's;0,4
T4_BAG_INSIGHT@3;Adept's Satchel of Insight .3;etc;8;8;;;Tinker's;0,8
T4_BAG_INSIGHT@4;Adept's Satchel of Insight .4;etc;8;8;;;Tinker's;1,6
T5_BAG_INSIGHT;Expert's Satchel of Insight;etc;8;8;;;Tinker's;0,2
T5_BAG_INSIGHT@1;Expert's Satchel of Insight .1;etc;8;8;;;Tinker's;0,4
T5_BAG_INSIGHT@2;Expert's Satchel of Insight .2;etc;8;8;;;Tinker's;0,8
T5_BAG_INSIGHT@3;Expert's Satchel of Insight .3;etc;8;8;;;Tinker's;1,6
T5_BAG_INSIGHT@4;Expert's Satchel of Insight .4;etc;8;8;;;Tinker's;3,2
T6_BAG_INSIGHT;Master's Satchel of Insight;etc;8;8;;;Tinker's;0,3
T6_BAG_INSIGHT@1;Master's Satchel of Insight .1;etc;8;8;;;Tinker's;0,6
T6_BAG_INSIGHT@2;Master's Satchel of Insight .2;etc;8;8;;;Tinker's;1,2
T6_BAG_INSIGHT@3;Master's Satchel of Insight .3;etc;8;8;;;Tinker's;2,4
T6_BAG_INSIGHT@4;Master's Satchel of Insight .4;etc;8;8;;;Tinker's;4,8
T7_BAG_INSIGHT;Grandmaster's Satchel of Insight;etc;8;8;;;Tinker's;0,36
T7_BAG_INSIGHT@1;Grandmaster's Satchel of Insight .1;etc;8;8;;;Tinker's;0,72
T7_BAG_INSIGHT@2;Grandmaster's Satchel of Insight .2;etc;8;8;;;Tinker's;1,45
T7_BAG_INSIGHT@3;Grandmaster's Satchel of Insight .3;etc;8;8;;;Tinker's;2,9
T7_BAG_INSIGHT@4;Grandmaster's Satchel of Insight .4;etc;8;8;;;Tinker's;5,82
T8_BAG_INSIGHT;Elder's Satchel of Insight;etc;8;8;;;Tinker's;0,38
T8_BAG_INSIGHT@1;Elder's Satchel of Insight .1;etc;8;8;;;Tinker's;0,76
T8_BAG_INSIGHT@2;Elder's Satchel of Insight .2;etc;8;8;;;Tinker's;1,52
T8_BAG_INSIGHT@3;Elder's Satchel of Insight .3;etc;8;8;;;Tinker's;3,04
T8_BAG_INSIGHT@4;Elder's Satchel of Insight .4;etc;8;8;;;Tinker's;6,08
T4_CAPE;Adept's Cape;etc;4;4;;;Tinker's;0,05
T4_CAPE@1;Adept's Cape .1;etc;4;4;;;Tinker's;0,1
