item_id,item_name,Categoria (preencha: Arma/Armadura/etc)
T4_BAG,Adept's Bag,etc
T4_BAG@1,Adept's Bag .1,etc
T4_BAG@2,Adept's Bag .2,etc
T4_BAG@3,Adept's Bag .3,etc
T4_BAG@4,Adept's Bag .4,etc
T5_BAG,Expert's Bag,etc
T5_BAG@1,Expert's Bag .1,etc
T5_BAG@2,Expert's Bag .2,etc
T5_BAG@3,Expert's Bag .3,etc
T5_BAG@4,Expert's Bag .4,etc
T6_BAG,Master's Bag,etc
T6_BAG@1,Master's Bag .1,etc
T6_BAG@2,Master's Bag .2,etc
T6_BAG@3,Master's Bag .3,etc
T6_BAG@4,Master's Bag .4,etc
T7_BAG,Grandmaster's Bag,etc
T7_BAG@1,Grandmaster's Bag .1,etc
T7_BAG@2,Grandmaster's Bag .2,etc
T7_BAG@3,Grandmaster's Bag .3,etc
T7_BAG@4,Grandmaster's Bag .4,etc
T8_BAG,Elder's Bag,etc
T8_BAG@1,Elder's Bag .1,etc
T8_BAG@2,Elder's Bag .2,etc
T8_BAG@3,Elder's Bag .3,etc
T8_BAG@4,Elder's Bag .4,etc
T4_BAG_INSIGHT,Adept's Satchel of Insight,etc
T4_BAG_INSIGHT@1,Adept's Satchel of Insight .1,etc
T4_BAG_INSIGHT@2,Adept's Satchel of Insight .2,etc
T4_BAG_INSIGHT@3,Adept's Satchel of Insight .3,etc
T4_BAG_INSIGHT@4,Adept's Satchel of Insight .4,etc
T5_BAG_INSIGHT,Expert's Satchel of Insight,etc
T5_BAG_INSIGHT@1,Expert's Satchel of Insight .1,etc
T5_BAG_INSIGHT@2,Expert's Satchel of Insight .2,etc
T5_BAG_INSIGHT@3,Expert's Satchel of Insight .3,etc
T5_BAG_INSIGHT@4,Expert's Satchel of Insight .4,etc
T6_BAG_INSIGHT,Master's Satchel of Insight,etc
T6_BAG_INSIGHT@1,Master's Satchel of Insight .1,etc
T6_BAG_INSIGHT@2,Master's Satchel of Insight .2,etc
T6_BAG_INSIGHT@3,Master's Satchel of Insight .3,etc
T6_BAG_INSIGHT@4,Master's Satchel of Insight .4,etc
T7_BAG_INSIGHT,Grandmaster's Satchel of Insight,etc
T7_BAG_INSIGHT@1,Grandmaster's Satchel of Insight .1,etc
T7_BAG_INSIGHT@2,Grandmaster's Satchel of Insight .2,etc
T7_BAG_INSIGHT@3,Grandmaster's Satchel of Insight .3,etc
T7_BAG_INSIGHT@4,Grandmaster's Satchel of Insight .4,etc
T8_BAG_INSIGHT,Elder's Satchel of Insight,etc
T8_BAG_INSIGHT@1,Elder's Satchel of Insight .1,etc
T8_BAG_INSIGHT@2,Elder's Satchel of Insight .2,etc
T8_BAG_INSIGHT@3,Elder's Satchel of Insight .3,etc
T8_BAG_INSIGHT@4,Elder's Satchel of Insight .4,etc
T4_CAPE,Adept's Cape,etc
T4_CAPE@1,Adept's Cape .1,etc
T4_CAPE@2,Adept's Cape .2,etc
T4_CAPE@3,Adept's Cape .3,etc
T4_CAPE@4,Adept's Cape .4,etc
T5_CAPE,Expert's Cape,etc
T5_CAPE@1,Expert's Cape .1,etc
T5_CAPE@2,Expert's Cape .2,etc
T5_CAPE@3,Expert's Cape .3,etc
T5_CAPE@4,Expert's Cape .4,etc
T6_CAPE,Master's Cape,etc
T6_CAPE@1,Master's Cape .1,etc
T6_CAPE@2,Master's Cape .2,etc
T6_CAPE@3,Master's Cape .3,etc
T6_CAPE@4,Master's Cape .4,etc
T7_CAPE,Grandmaster's Cape,etc
T7_CAPE@1,Grandmaster's Cape .1,etc
T7_CAPE@2,Grandmaster's Cape .2,etc
T7_CAPE@3,Grandmaster's Cape .3,etc
T7_CAPE@4,Grandmaster's Cape .4,etc
T8_CAPE,Elder's Cape,etc
T8_CAPE@1,Elder's Cape .1,etc
T8_CAPE@2,Elder's Cape .2,etc
T8_CAPE@3,Elder's Cape .3,etc
T8_CAPE@4,Elder's Cape .4,etc
T4_CAPEITEM_FW_BRIDGEWATCH,Adept's Bridgewatch Cape,etc
T4_CAPEITEM_FW_BRIDGEWATCH@1,Adept's Bridgewatch Cape .1,etc
T4_CAPEITEM_FW_BRIDGEWATCH@2,Adept's Bridgewatch Cape .2,etc
T4_CAPEITEM_FW_BRIDGEWATCH@3,Adept's Bridgewatch Cape .3,etc
T4_CAPEITEM_FW_BRIDGEWATCH@4,Adept's Bridgewatch Cape .4,etc
T5_CAPEITEM_FW_BRIDGEWATCH,Expert's Bridgewatch Cape,etc
T5_CAPEITEM_FW_BRIDGEWATCH@1,Expert's Bridgewatch Cape .1,etc
T5_CAPEITEM_FW_BRIDGEWATCH@2,Expert's Bridgewatch Cape .2,etc
T5_CAPEITEM_FW_BRIDGEWATCH@3,Expert's Bridgewatch Cape .3,etc
T5_CAPEITEM_FW_BRIDGEWATCH@4,Expert's Bridgewatch Cape .4,etc
T6_CAPEITEM_FW_BRIDGEWATCH,Master's Bridgewatch Cape,etc
T6_CAPEITEM_FW_BRIDGEWATCH@1,Master's Bridgewatch Cape .1,etc
T6_CAPEITEM_FW_BRIDGEWATCH@2,Master's Bridgewatch Cape .2,etc
T6_CAPEITEM_FW_BRIDGEWATCH@3,Master's Bridgewatch Cape .3,etc
T6_CAPEITEM_FW_BRIDGEWATCH@4,Master's Bridgewatch Cape .4,etc
T7_CAPEITEM_FW_BRIDGEWATCH,Grandmaster's Bridgewatch Cape,etc
T7_CAPEITEM_FW_BRIDGEWATCH@1,Grandmaster's Bridgewatch Cape .1,etc
T7_CAPEITEM_FW_BRIDGEWATCH@2,Grandmaster's Bridgewatch Cape .2,etc
T7_CAPEITEM_FW_BRIDGEWATCH@3,Grandmaster's Bridgewatch Cape .3,etc
